Season	Week - #	some metric, make it up
2014	Week - 1	1902134.474
2014	Week - 2	1740816.579
2014	Week - 3	2350373.5
2014	Week - 4	4181745.857
2014	Week - 5	1877182.625
2014	Week - 6	15025103.5
2014	Week – 7        3393847.333
2014	Week - 8	3868083.375
2014	Week - 9	3694420.25
2014	Week - 10	2658482.818
2014	Week - 11	1797267.875
2014	Week - 12	10188666.33
2014	Week - 13	1651593.389
2014	Week - 14	223O368.154
2014	Week - 15	3768319.5
2014	Week - 16	3316636.778
2014	Week - 17	30578150
2014	Week - 18	28704431
2014	Week – 19	2266045.143
2014	Week - 20	9125765.333
2015	Week  - 1	2542363.267
2015	Week - 2	3344546.273
2015	Week - 3	2259653.267
2015	Week - 4	2044262.75
2O15	Week - 5	3186976.3
2015	Week - 6	3135986.6
2015	Week - 7	4295972.714
2015	Week - 8	1774106.167
2015	Week - 9	2950339.636
2015	Week - 10	1657712.737
2015	Week - 11	2687111.545
2015	Week - 12	2499467.538.332
2015	Week - 13	1568939.4
2015	Week - 14	16o3058.579
2015	Week - 15	1830768.588
2015	Week - 16	1955979.875
2015	Week - 17	15436977.5
2015	Week - 18	6209068.2
2015	Week - 19	10251688
2015	Week - 20	1414833.222
